identifier,condition,preference,sus_cognitive,sus_baseline
5705932755435520,1,cognitive,85.0,72.5
5770178285535232,1,baseline,52.5,67.5
5746523350499328,0,cognitive,35.0,27.5
5662792157757440,0,baseline,62.5,57.5
5672404563001344,0,cognitive,32.5,37.5
5697673499770880,1,cognitive,77.5,40.0
5730364475572224,0,cognitive,47.5,45.0
5739062455435264,1,cognitive,20.0,32.5
5719366876266496,0,baseline,47.5,62.5
5764331392204800,0,baseline,37.5,62.5
5099842204336128,0,cognitive,42.5,37.5
5637013092958208,1,cognitive,85.0,67.5
5632046399488000,0,baseline,27.5,52.5
5666212897882112,0,baseline,15.0,15.0
5699843028680704,1,cognitive,42.5,30.0
5702124797165568,1,cognitive,62.5,40.0
5142982802014208,0,baseline,17.5,20.0
5769501089988608,1,baseline,45.0,2.5
5681556802764800,1,baseline,80.0,62.5
5661242479869952,0,baseline,72.5,67.5
5637377896742912,0,baseline,40.0,35.0
5652956951085056,0,cognitive,17.5,10.0
5726263989764096,1,baseline,30.0,37.5
5764903193280512,1,cognitive,45.0,30.0
5748984098324480,0,cognitive,85.0,80.0
5742560236535808,1,cognitive,92.5,60.0
5761076981399552,0,baseline,22.5,30.0
5669826643099648,1,cognitive,80.0,75.0
5649342266343424,0,baseline,35.0,42.5
5712466340216832,0,cognitive,20.0,2.5
5721373565517824,1,cognitive,75.0,37.5
5729450050191360,1,baseline,40.0,47.5
5695708787113984,1,cognitive,65.0,37.5
5638246889422848,0,baseline,52.5,75.0
5656281524207616,1,cognitive,30.0,42.5
5651072089587712,0,cognitive,57.5,60.0
5698913638023168,0,baseline,17.5,35.0
5696855140728832,0,baseline,55.0,77.5
5074427943321600,0,cognitive,30.0,22.5
5734484288733184,0,baseline,55.0,57.5
5719614843518976,1,baseline,32.5,35.0
5676959711363072,0,baseline,60.0,55.0
5688250777731072,0,baseline,35.0,42.5
5633442834284544,0,baseline,22.5,15.0
5715110588841984,1,cognitive,0.0,27.5
5750008515133440,0,baseline,27.5,32.5
5069096446066688,1,cognitive,87.5,60.0
5735453743382528,0,baseline,80.0,67.5
5689181846110208,1,cognitive,30.0,52.5
5763513033162752,0,cognitive,27.5,22.5
5705301361688576,0,baseline,40.0,80.0
5755520770113536,1,baseline,70.0,40.0
5206551136567296,1,cognitive,67.5,42.5
5655326833508352,1,baseline,62.5,50.0
5643233145126912,1,baseline,72.5,52.5
5647577303220224,1,cognitive,37.5,30.0
5142351408267264,0,cognitive,52.5,40.0
5754702511734784,1,baseline,10.0,15.0
5084627349798912,1,baseline,47.5,37.5
5703358593630208,0,baseline,65.0,50.0
5721598178885632,0,baseline,27.5,55.0
5172503789961216,0,cognitive,30.0,25.0
5687856915808256,1,baseline,55.0,47.5
5149516386795520,1,cognitive,50.0,27.5
5641986128216064,0,cognitive,65.0,50.0
6332451043409920,0,baseline,15.0,37.5
5664859949629440,1,baseline,40.0,40.0
5630815723585536,1,cognitive,55.0,40.0
6210527256641536,0,cognitive,42.5,65.0
5644895230361600,1,cognitive,32.5,20.0
4803152373088256,1,cognitive,32.5,27.5
5723502418067456,0,baseline,10.0,20.0
5081945276940288,1,cognitive,97.5,85.0
5695228287647744,1,cognitive,77.5,35.0
5140408640208896,0,cognitive,12.5,10.0
6275416293638144,0,baseline,32.5,42.5
5670854281134080,0,baseline,50.0,82.5
5198127027978240,1,cognitive,55.0,52.5
5106876689678336,0,baseline,32.5,37.5
5711553122795520,1,baseline,70.0,27.5
6266308547051520,0,baseline,30.0,35.0
5657512099446784,0,baseline,12.5,12.5
5705873162764288,1,cognitive,55.0,35.0
5094562146025472,1,cognitive,65.0,52.5
5715241090416640,0,cognitive,92.5,35.0
5733704819277824,0,cognitive,100.0,42.5
5765365372026880,0,cognitive,67.5,57.5
5090006997663744,1,baseline,45.0,40.0
5674748138749952,0,baseline,10.0,0.0
5170754865856512,0,cognitive,37.5,30.0
5736687539847168,1,cognitive,25.0,50.0
5207228332113920,1,cognitive,82.5,55.0
5666668701286400,0,cognitive,37.5,40.0
5679858948505600,0,cognitive,67.5,60.0
5693366486433792,0,baseline,22.5,25.0
5745073731928064,1,cognitive,75.0,60.0
6225742111178752,1,baseline,17.5,25.0
5678224176578560,0,baseline,45.0,37.5
5171534335311872,0,cognitive,35.0,37.5
5766621448634368,1,cognitive,57.5,22.5
5191752558313472,1,baseline,37.5,55.0
5707059983024128,1,baseline,17.5,17.5
5703829630746624,0,cognitive,37.5,35.0
5744882069012480,1,cognitive,62.5,35.0
5664445921492992,0,baseline,30.0,35.0
5684207762276352,0,cognitive,70.0,62.5
5748214695198720,1,baseline,35.0,47.5
5725470830100480,0,baseline,47.5,47.5
5754514808242176,1,cognitive,22.5,52.5
5722597228544000,1,cognitive,22.5,40.0
6207845183782912,1,cognitive,37.5,40.0
5139174843744256,0,cognitive,27.5,37.5
5741779089358848,1,cognitive,52.5,30.0
5751095477403648,0,baseline,10.0,10.0
5156416922845184,0,cognitive,50.0,5.0
5762057441902592,1,baseline,62.5,60.0
5173737586425856,0,cognitive,57.5,42.5
5686575606267904,0,cognitive,40.0,30.0
5742856555724800,0,baseline,50.0,37.5
5709504490504192,0,cognitive,42.5,45.0
