Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,gender Response,gender Quantised,age Value,parh1 Response,parh1 Quantised,parh2 Response,parh2 Quantised,parh3 Response,parh3 Quantised,parh4 Response,parh4 Quantised,hypothesis Value
1,1689936898226,21/07/2023 10:54:58,1689940498226,1,21/07/2023 12:54:58,139290,5,questionnaire-sxre,,30792476,BLIND,9143438,,complete,,64ba7106854f62713df477e2,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1369x630,1366x629,,,,demographics,4,Male,1,47,-2,2,-2,2,-2,2,-2,2,not sure
1,1692033284449,14/08/2023 17:14:44,1692036884449,1,14/08/2023 19:14:44,139290,5,questionnaire-sxre,,31181679,BLIND,9244235,,complete,,64da6e3fea3dfe7fd4742f9b,mobile,undefined K,Android 10,Chrome 115.0.0.0,360x771,360x647,,,0,demographics,4,Female,2,30,-3,1,0,4,-3,1,-3,1,Body perception 
1,1692033695301,14/08/2023 17:21:35,1692037295301,1,14/08/2023 19:21:35,139290,5,questionnaire-sxre,,31181835,BLIND,9244296,,complete,,64da70166fdeca27c4fbae30,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1280x800,1422x608,,,0,demographics,4,Female,2,25,-2,2,1,5,-2,2,2,6,dont know
1,1692033809055,14/08/2023 17:23:29,1692037409055,1,14/08/2023 19:23:29,139290,5,questionnaire-sxre,,31181898,BLIND,9244306,,complete,,64da705fd5ffc8b8859dbd26,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,810x977,,,0,demographics,4,Female,2,34,0,4,2,6,-1,3,2,6,understanding virtual reality 
1,1692033862458,14/08/2023 17:24:22,1692037462458,1,14/08/2023 19:24:22,139290,5,questionnaire-sxre,,31181940,BLIND,9244337,,complete,,64da710d9850e8d0a69dbd51,mobile,Apple iPhone,iOS 16.6,Mobile Safari 16.6,414x896,414x715,,,0,demographics,4,Female,2,29,2,6,2,6,2,6,-1,3,robots 
1,1692033902931,14/08/2023 17:25:02,1692037502931,1,14/08/2023 19:25:02,139290,5,questionnaire-sxre,,31181968,BLIND,9244321,,complete,,64da70cc88b968e27ecaacf0,mobile,Apple iPhone,iOS 16.6,Mobile Safari 16.6,390x844,390x663,,,0,demographics,4,Female,2,41,2,6,0,4,2,6,-2,2,they are seeing if people can understsnd how vr works
1,1692033919837,14/08/2023 17:25:19,1692037519837,1,14/08/2023 19:25:19,139290,5,questionnaire-sxre,,31181975,BLIND,9244324,,complete,,64da70d60552f191cc6c16ce,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 115.0.0.0,1536x864,1536x708,,,0,demographics,4,Female,2,34,-3,1,3,7,-3,1,3,7,Perception of your body?
1,1692033980963,14/08/2023 17:26:20,1692037580963,1,14/08/2023 19:26:20,139290,5,questionnaire-sxre,,31182024,BLIND,9244360,,complete,,64da71537f9ef4f1c12a6440,mobile,Samsung SM-G780G,Android 13,Samsung Browser 22.0,360x800,360x627,,,0,demographics,4,Female,2,31,0,4,0,4,0,4,0,4,virtual reality 
1,1692034066419,14/08/2023 17:27:46,1692037666419,1,14/08/2023 19:27:46,139290,5,questionnaire-sxre,,31182073,BLIND,9244359,,complete,,64da715019ce15630ac47f8d,mobile,Apple iPhone,iOS 16.5.1,Mobile Safari 16.5.2,390x844,390x664,,,0,demographics,4,Female,2,25,0,4,2,6,0,4,1,5,using VR for exercise 
1,1692034068419,14/08/2023 17:27:48,1692037668419,1,14/08/2023 19:27:48,139290,5,questionnaire-sxre,,31182074,BLIND,9244367,,complete,,64da716b9850e8d0a69dbd68,mobile,Apple iPhone,iOS 16.6,Mobile Safari 16.6,390x844,390x663,,,0,demographics,4,Female,2,20,-3,1,3,7,-2,2,2,6,The association between a real body and a vr body
1,1692034069312,14/08/2023 17:27:49,1692037669312,1,14/08/2023 19:27:49,139290,5,questionnaire-sxre,,31182075,BLIND,9244379,,complete,,64da719096187a2f55bbb104,mobile,Samsung SM-A516B,Android 13,Samsung Browser 22.0,412x915,412x785,,,0,demographics,4,Female,2,23,2,6,-2,2,2,6,-2,2,the impacts of virtual reality
1,1692034078859,14/08/2023 17:27:58,1692037678859,1,14/08/2023 19:27:58,139290,5,questionnaire-sxre,,31182082,BLIND,9244357,,complete,,64da714d585725e2dbe95942,mobile,Apple iPhone,iOS 16.6,Mobile Safari 16.6,390x844,390x664,,,0,demographics,4,Female,2,38,1,5,0,4,1,5,1,5,virtual reality avatar 
1,1692034097140,14/08/2023 17:28:17,1692037697140,1,14/08/2023 19:28:17,139290,5,questionnaire-sxre,,31182095,BLIND,9244382,,complete,,64da71a598084381c7816e2d,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,2560x1440,2560x1323,,,0,demographics,4,Female,2,35,-2,2,2,6,-2,2,2,6,Guessing how people feel about VR
1,1692034112037,14/08/2023 17:28:32,1692037712037,1,14/08/2023 19:28:32,139290,5,questionnaire-sxre,,31182100,BLIND,9244365,,complete,,64da716a86a8f53c6fdb42ab,mobile,Samsung SM-S908B,Android 13,Samsung Browser 22.0,385x824,384x653,,,0,demographics,4,Female,2,51,0,4,0,4,1,5,-3,1,i think it maybe about putting someone's consciousness into AI
1,1692034144820,14/08/2023 17:29:04,1692037744820,1,14/08/2023 19:29:04,139290,5,questionnaire-sxre,,31182123,BLIND,9244371,,complete,,64da717444e32f0cb760477c,mobile,undefined K,Android 10,Chrome 115.0.0.0,360x780,360x699,,,0,demographics,4,Female,2,24,0,4,1,5,-1,3,1,5,how people see the relationship between own and virtual self
1,1692034144252,14/08/2023 17:29:04,1692037744252,1,14/08/2023 19:29:04,139290,5,questionnaire-sxre,,31182125,BLIND,9244373,,complete,,64da7179d7dae2d981f161ed,mobile,Apple iPhone,iOS 16.1.1,Mobile Safari 16.1,375x812,375x640,,,0,demographics,4,Female,2,47,1,5,-1,3,2,6,-1,3,AI and virtual reality
1,1692034185915,14/08/2023 17:29:45,1692037785915,1,14/08/2023 19:29:45,139290,5,questionnaire-sxre,,31182150,BLIND,9244392,,complete,,64da71c5ad242279310acf94,mobile,Apple iPhone,iOS 16.6,Mobile Safari 16.6,390x844,390x661,,,0,demographics,4,Female,2,31,3,7,-3,1,3,7,-3,1,people thoughts on virtual reality
1,1692034189590,14/08/2023 17:29:49,1692037789590,1,14/08/2023 19:29:49,139290,5,questionnaire-sxre,,31182153,BLIND,9244356,,complete,,64da71421c65f4b8fb04bd83,mobile,undefined K,Android 10,Chrome 115.0.0.0,412x915,412x777,,,0,demographics,4,Female,2,39,2,6,0,4,-2,2,-1,3,how we percieve virtual reality
1,1692034195191,14/08/2023 17:29:55,1692037795191,1,14/08/2023 19:29:55,139290,5,questionnaire-sxre,,31182158,BLIND,9244402,,complete,,64da71f582dde4eb1cb5ea5f,mobile,undefined K,Android 10,Chrome 115.0.0.0,360x780,360x657,,,0,demographics,4,Female,2,37,-3,1,3,7,-3,1,-3,1,Body image 
1,1692034197919,14/08/2023 17:29:57,1692037797919,1,14/08/2023 19:29:57,139290,5,questionnaire-sxre,,31182162,BLIND,9244384,,complete,,64da71a8ad242279310acf84,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,768x1024,1024x642,,,0,demographics,4,Female,2,62,1,5,-2,2,1,5,-2,2,body mapping
1,1692034197474,14/08/2023 17:29:57,1692037797474,1,14/08/2023 19:29:57,139290,5,questionnaire-sxre,,31182163,BLIND,9244395,,complete,,64da71d53443bd26a7e94522,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1440x783,,,0,demographics,4,Female,2,30,-3,1,2,6,-2,2,2,6,"To see if by using a mirror in virtual reality, participants would feel it was more real as they could see their reflection behaving how they were in real life (blurring the boundary between real life and virtual reality.) "
1,1692034213532,14/08/2023 17:30:13,1692037813532,1,14/08/2023 19:30:13,139290,5,questionnaire-sxre,,31182177,BLIND,9244393,,complete,,64da71c48a0a3cab419470a8,mobile,Apple iPhone,iOS 16.5.1,Mobile Safari 16.5.2,375x667,375x552,,,0,demographics,4,Female,2,46,1,5,0,4,1,5,0,4,body image
1,1692034250162,14/08/2023 17:30:50,1692037850162,1,14/08/2023 19:30:50,139290,5,questionnaire-sxre,,31182189,BLIND,9244405,,complete,,64da7208db39a9e9ce309364,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1280x720,1280x563,,,0,demographics,4,Female,2,51,-2,2,-2,2,-2,2,2,6,No idea
1,1692034259950,14/08/2023 17:30:59,1692037859950,1,14/08/2023 19:30:59,139290,5,questionnaire-sxre,,31182203,BLIND,9244412,,complete,,64da72467caeb68a149d018f,mobile,Apple iPhone,iOS 16.6,Mobile Safari 16.6,430x932,430x740,,,0,demographics,4,Female,2,24,-3,1,3,7,-3,1,3,7,im not sure
1,1692034295830,14/08/2023 17:31:35,1692037895830,1,14/08/2023 19:31:35,139290,5,questionnaire-sxre,,31182224,BLIND,9244418,,complete,,64da72472f1367d2b69e8099,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1366x768,1366x651,,,0,demographics,4,Female,2,29,0,4,1,5,0,4,1,5,i am not sure
1,1692034292993,14/08/2023 17:31:32,1692037892993,1,14/08/2023 19:31:32,139290,5,questionnaire-sxre,,31182228,BLIND,9244422,,complete,,64da725b4382cf49350acf3a,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1366x768,1366x619,,,0,demographics,4,Female,2,23,-1,3,1,5,-1,3,2,6,Connection with VR and mirrors
