Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-j7g2,cause_A Value,heard_A Response,heard_A Quantised,prev_A Response,prev_A Quantised,Q1_A Response,Q1_A Quantised,Q2_A Response,Q2_A Quantised,Q3_A Response,Q3_A Quantised,Q4_A Response,Q4_A Quantised,Q5_A Response,Q5_A Quantised,Q6_A Response,Q6_A Quantised
1,1692033180567,14/08/2023 17:13:00,1692036780567,1,14/08/2023 19:13:00,139320,6,questionnaire-cve7,,31181648,BLIND,9244243,,complete,,64da6e8db0f98edaf8de6637,mobile,Samsung SM-G996B,Android 13,Samsung Browser 22.0,384x854,384x683,,,0,asynchronous,6,asynchronous first,confusion of their virtual self moving without moving in reality,No,2,No,2,1,5,1,5,0,4,1,5,1,5,2,6
1,1692033335158,14/08/2023 17:15:35,1692036935158,1,14/08/2023 19:15:35,139320,6,questionnaire-cve7,,31181691,BLIND,9244267,,complete,,64da6f34fe339d1dcebc60a4,mobile,Apple iPhone,iOS 16.6,Mobile Safari 16.6,375x667,375x559,,,0,asynchronous,6,asynchronous first,feeling of movement when there is none,No,2,No,2,2,6,1,5,-1,3,1,5,1,5,1,5
1,1692033368254,14/08/2023 17:16:08,1692036968254,1,14/08/2023 19:16:08,139320,6,questionnaire-cve7,,31181695,BLIND,9244262,,complete,,64da6eff5a589cfbc1a5e306,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1366x768,1366x619,,,0,asynchronous,6,asynchronous first,seeing how they move from a different perspective,No,2,No,2,-1,3,1,5,1,5,1,5,1,5,1,5
1,1692033520378,14/08/2023 17:18:40,1692037120378,1,14/08/2023 19:18:40,139320,6,questionnaire-cve7,,31181755,BLIND,9244286,,complete,,64da6fbb0e6633ea4b57a861,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1920x1080,1920x923,,,0,asynchronous,6,asynchronous first,to see how they move when using the VR,No,2,No,2,1,5,1,5,0,4,1,5,0,4,1,5
1,1692033544581,14/08/2023 17:19:04,1692037144581,1,14/08/2023 19:19:04,139320,6,questionnaire-cve7,,31181764,BLIND,9244291,,complete,,64da6fe891816637a469c2df,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1280x720,1280x563,,,0,asynchronous,6,asynchronous first,Remoteness from their body. Lacl of power over it,No,2,No,2,1,5,2,6,3,7,0,4,-3,1,0,4
1,1692033607037,14/08/2023 17:20:07,1692037207037,1,14/08/2023 19:20:07,139320,6,questionnaire-cve7,,31181792,BLIND,9244302,,complete,,64da704086c09bb3040a1d76,mobile,Apple iPhone,iOS 16.6,Chrome 115.0.5790.160,390x844,390x669,,,0,asynchronous,6,asynchronous first,an out of body experinence. ,No,2,No,2,1,5,-1,3,0,4,0,4,-1,3,1,5
1,1692033680305,14/08/2023 17:21:20,1692037280305,1,14/08/2023 19:21:20,139320,6,questionnaire-cve7,,31181824,BLIND,9244311,,complete,,64da70610552f191cc6c16b2,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1280x720,1280x603,,,0,asynchronous,6,asynchronous first,Asyncronous,No,2,No,2,-2,2,1,5,-2,2,2,6,2,6,1,5
1,1692033729295,14/08/2023 17:22:09,1692037329295,1,14/08/2023 19:22:09,139320,6,questionnaire-cve7,,31181848,BLIND,9244316,,complete,,64da7098cda1e4c3559f4844,mobile,Apple iPhone,iOS 16.1.1,Mobile Safari 16.1,414x896,414x702,,,0,asynchronous,6,asynchronous first,Expected to feel like their body is also moving despite being still in real life,No,2,No,2,1,5,-2,2,-3,1,2,6,-1,3,0,4
1,1692033772259,14/08/2023 17:22:52,1692037372259,1,14/08/2023 19:22:52,139320,6,questionnaire-cve7,,31181880,BLIND,9244320,,complete,,64da70b2ce1abf5b0da93055,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1366x768,1366x651,,,0,asynchronous,6,asynchronous first,not sure,No,2,No,2,0,4,1,5,-2,2,0,4,2,6,1,5
1,1692033798287,14/08/2023 17:23:18,1692037398287,1,14/08/2023 19:23:18,139320,6,questionnaire-cve7,,31181891,BLIND,9244333,,complete,,64da70ee0fc2ff356ca5e306,mobile,Apple iPhone,iOS 16.1.1,Mobile Safari 16.1,414x896,414x715,,,0,asynchronous,6,asynchronous first,To make the participant feel as though the virtual body is theirs. To feel like they are really in that world.,No,2,No,2,2,6,2,6,1,5,3,7,2,6,2,6
1,1692033799843,14/08/2023 17:23:19,1692037399843,1,14/08/2023 19:23:19,139320,6,questionnaire-cve7,,31181892,BLIND,9244328,,complete,,64da6fe2d5add0c3c26c9baa,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1536x747,,,0,asynchronous,6,asynchronous first,"It would make them feel like their body is not their, like they are disconnected from it.",No,2,No,2,1,5,-3,1,0,4,1,5,-1,3,2,6
1,1692033825252,14/08/2023 17:23:45,1692037425252,1,14/08/2023 19:23:45,139320,6,questionnaire-cve7,,31181911,BLIND,9244339,,complete,,64da711539db50a46ce7a568,mobile,undefined K,Android 10,Chrome 115.0.0.0,360x780,360x645,,,0,asynchronous,6,asynchronous first,the participant thinks their own body was moving as well,No,2,No,2,2,6,2,6,-2,2,2,6,-1,3,1,5
1,1692033836678,14/08/2023 17:23:56,1692037436678,1,14/08/2023 19:23:56,139320,6,questionnaire-cve7,,31181915,BLIND,9244342,,complete,,64da711f39db50a46ce7a56a,tablet,undefined K,Android 10,Chrome 115.0.0.0,1334x800,1334x632,,,0,asynchronous,6,asynchronous first,the participant can experience a virtual person looking into a mirror ,No,2,No,2,-1,3,1,5,-1,3,2,6,-2,2,-1,3
1,1692033851321,14/08/2023 17:24:11,1692037451321,1,14/08/2023 19:24:11,139320,6,questionnaire-cve7,,31181927,BLIND,9244352,,complete,,64da713a19d7e7313f6ae986,mobile,Apple iPhone,iOS 16.6,Mobile Safari 16.6,430x932,430x740,,,0,asynchronous,6,asynchronous first,to give the participant the belief they are moving ,No,2,No,2,1,5,1,5,2,6,1,5,1,5,1,5
1,1692033860116,14/08/2023 17:24:20,1692037460116,1,14/08/2023 19:24:20,139320,6,questionnaire-cve7,,31181939,BLIND,9244351,,complete,,64da713edb39a9e9ce309331,computer,Desktop or Laptop,Windows 10,Edge 115.0.1901.203,1280x1024,1225x913,,,0,asynchronous,6,asynchronous first,not sure because the real person was still and the virtual person was moving her arms i dont see the point of that ,No,2,No,2,-3,1,-3,1,-3,1,-3,1,-3,1,-3,1
1,1692034545889,14/08/2023 17:35:45,1692038145889,1,14/08/2023 19:35:45,139320,6,questionnaire-cve7,,31182439,BLIND,9244546,,complete,,64da73ece4a6d73cad9333c1,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 115.0.0.0,1440x900,1440x687,,,0,asynchronous,6,asynchronous first,I think the procedure is some sort of physiotherapy that is supposed to make the participant feel more connected to thier bodies and limbs.,No,2,No,2,0,4,-2,2,-3,1,-1,3,2,6,-2,2
1,1692055762543,14/08/2023 23:29:22,1692041362543,-4,14/08/2023 15:29:22,139320,6,questionnaire-cve7,,31183160,BLIND,9245300,,complete,,64da806dd52d19fdb3bc606a,computer,Desktop or Laptop,Windows 10,Firefox 116.0,1536x864,1536x739,,,0,asynchronous,6,asynchronous first,trick the brain into believing virtual sensations are real sensations,No,2,No,2,2,6,1,5,-2,2,1,5,1,5,1,5
1,1692055832223,14/08/2023 23:30:32,1692041432223,-4,14/08/2023 15:30:32,139320,6,questionnaire-cve7,,31183176,BLIND,9245303,,complete,,64da7fa5547835fde89d01e2,mobile,undefined K,Android 10,Chrome 114.0.0.0,384x854,384x718,,,0,asynchronous,6,asynchronous first,the participant  is expected to experience  whiplast by seeing  their virtual body in a 3d world,Yes,1,Yes,1,1,5,2,6,-2,2,2,6,3,7,-1,3
1,1692088366300,15/08/2023 08:32:46,1692091966300,1,15/08/2023 10:32:46,139320,6,questionnaire-cve7,,31187800,BLIND,9247288,,complete,,64db45c856fc63f26920876b,mobile,Apple iPhone,iOS 16.5.1,Mobile Safari 16.5.1,390x844,390x663,,,0,asynchronous,6,asynchronous first,Relaxation and pleasure ,No,2,No,2,-1,3,-1,3,-3,1,-2,2,-2,2,-3,1
1,1692089479095,15/08/2023 08:51:19,1692093079095,1,15/08/2023 10:51:19,139320,6,questionnaire-cve7,,31188045,BLIND,9247365,,complete,,64db4a8a3cd3f052607ad91c,computer,Desktop or Laptop,Windows 10,Edge 115.0.1901.203,2752x1152,2752x1002,,,0,asynchronous,6,asynchronous first,Disassociation of the virtual body and the user?,No,2,No,2,-3,1,-3,1,-3,1,-1,3,-2,2,-3,1
1,1692115558200,15/08/2023 16:05:58,1692101158200,-4,15/08/2023 08:05:58,139320,6,questionnaire-cve7,,31190623,BLIND,9248036,,complete,,64db69fa1214658c6761c1b6,mobile,Apple iPhone,iOS 16.1.1,Mobile Safari 16.1,390x844,390x663,,,0,asynchronous,6,asynchronous first,A sense of incongruency between their real and virtual bodies.,No,2,No,2,-1,3,-1,3,-2,2,-2,2,-3,1,-1,3
1,1692119104633,15/08/2023 17:05:04,1692104704633,-4,15/08/2023 09:05:04,139320,6,questionnaire-cve7,,31191598,BLIND,9248321,,complete,,64db77e8fb9dc0a63314c35e,computer,Desktop or Laptop,Windows 10,Edge 115.0.1901.203,1920x1080,1920x961,,,0,asynchronous,6,asynchronous first,"This procedure is supposed to cause a disorientating feeling, feeling mismatched from your body.",No,2,No,2,-1,3,-1,3,-3,1,-1,3,-1,3,-2,2
1,1692875058871,24/08/2023 11:04:18,1692878658871,1,24/08/2023 13:04:18,139320,6,questionnaire-cve7,,31339885,BLIND,9283951,,complete,,64e74724b77418ff5a322838,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,2560x1440,690x739,,,0,asynchronous,6,asynchronous first,i dont know,No,2,No,2,-2,2,-2,2,-2,2,-2,2,-2,2,0,4
1,1692875893050,24/08/2023 11:18:13,1692879493050,1,24/08/2023 13:18:13,139320,6,questionnaire-cve7,,31340408,BLIND,9284034,,complete,,64e74a4c7e1c5946824f85fe,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1280x720,1280x571,,,0,asynchronous,6,asynchronous first,seeing the vr version of themselves move independently,No,2,No,2,-2,2,-2,2,-1,3,0,4,1,5,-1,3
1,1692158227200,16/08/2023 03:57:07,1692133027200,-7,15/08/2023 13:57:07,139320,6,questionnaire-cve7,,31212880,BLIND,9252170,,complete,,64dbe6629c6adb5fae4a6039,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1920x1080,1920x969,,,0,asynchronous,6,asynchronous first,Familiarity with the gestalt.,No,2,No,2,3,7,3,7,3,7,3,7,3,7,3,7
1,1692146488217,16/08/2023 00:41:28,1692121288217,-7,15/08/2023 10:41:28,139320,6,questionnaire-cve7,,31209919,BLIND,9251412,,complete,,64dbb897668f49c9c8ac2240,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1600x900,1155x678,,,0,asynchronous,6,asynchronous first,Feeling of loss of control,No,2,No,2,1,5,-2,2,1,5,2,6,-1,3,-1,3
1,1692123518607,15/08/2023 18:18:38,1692098318607,-7,15/08/2023 04:18:38,139320,6,questionnaire-cve7,,31189304,BLIND,9247725,,complete,,64db5eef9702988168811445,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1920x1080,1850x916,,,0,asynchronous,6,asynchronous first,Body dysphoria,No,2,No,2,-3,1,-3,1,-1,3,-2,2,-3,1,-2,2
1,1692091058754,15/08/2023 09:17:38,1692094658754,1,15/08/2023 11:17:38,139320,6,questionnaire-cve7,,31188387,BLIND,9247452,,complete,,64db509a25b8c3985c12c208,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 114.0.0.0,1513x793,1512x791,,,0,asynchronous,6,asynchronous first,the participant should experience as if they are actually in the virutal reality. this is as their VR body is doing the same as theirs.,No,2,No,2,1,5,1,5,2,6,-1,3,1,5,-2,2
