"","id","cause","heard","prev","q1","q2","q3","q4","q5","q6","condition","gender","age","parh1","parh2","parh3","parh4","hypothesis","design"
"1","9143403","whether the virtual body moved synchronously with participants real body properly","2","2","7","6","6","5","6","6","async","2","42","6","2","5","2","whether u felt the cirtual body was like controlling your own and felt like your own","between"
"2","9143429","Experience exercising and stretching.","2","2","3","2","2","4","5","1","async","2","37","1","6","1","6","Using virtual bodies.","between"
"3","9143776","I didn't see any movement by the participant in the video.  The avatar did move their arms at the end.","2","2","2","2","2","3","3","2","async","1","56","2","2","2","2","No idea.  I think you should check how the video runs on a variety of browser/machines (I was using FF on a MBP and it showed only three still images and then a short video clip of <10s duration of the avatar moving each arm and the person watching it with their arms lowered, I assume I missed an earlier part of the video as it didn't play).","between"
"4","9143455","The body feels like it has made the movements","2","2","6","5","6","7","6","6","async","1","53","1","7","2","6","How the mind belives what it sees","between"
"5","9143418","The participant is supposed to feel that the virtual body is their actual body.","2","2","5","5","4","3","6","6","sync","1","19","3","5","3","3","I liked it, it was unique as I have never seen this topic discussed in a study.","between"
"6","9143435","They are supposed to feel a sense of wonder that the virtual body can copy their movements exactly","2","2","3","3","4","4","6","4","sync","2","41","2","6","2","6","To what extent we perceived virtual reality as reality","between"
"7","9143439","like they are really in the virtual world","1","2","6","4","5","5","7","7","sync","2","31","5","4","5","4","to see if people feel like they are the character in the virtual world","between"
"8","9143438","they feel that they are looking at themselves in the mirror","2","2","3","5","2","5","6","4","sync","1","47","2","2","2","2","not sure","between"
"9","9143399","To blend their real and fake bodies together.","2","2","7","7","6","7","7","7","sync","1","25","5","3","5","3","people perceiving their vr body as their real body.","within"
"10","9143422","reality promotion","2","2","6","5","6","5","5","5","sync","2","53","2","5","1","1","dont know","within"
"11","9143401","The participant will become familiar with how to move in the VR suit and get used to how this appears in the visual dispaly.","2","1","4","3","1","5","6","4","sync","2","32","6","3","4","3","It was ok, questions could be a little clearer. I assumed you were testing the connection participants feel to VR avatars and instruction on how to achieve connection.","within"
"12","9143409","A virtual representation of their movements on an avatar. it would help to promote familiarality with the VR experience","1","2","6","5","5","7","7","7","sync","1","31","2","6","2","6","The VR experience and how wearers feel in different situations","within"
"13","9143399","They're supposed to feel disconnected from their own bodies.","2","2","6","6","6","5","5","5","async","1","25","5","3","5","3","people perceiving their vr body as their real body.","within"
"14","9143422","excersise classes","2","2","6","5","5","5","6","5","async","2","53","2","5","1","1","dont know","within"
"15","9143401","For the participant to become familiar with how the virtual body moved and how to control it.","2","2","2","1","1","1","1","1","async","2","32","6","3","4","3","It was ok, questions could be a little clearer. I assumed you were testing the connection participants feel to VR avatars and instruction on how to achieve connection.","within"
"16","9143409","an experience of the avatar conducting movements seperatly from inout given by the subject. Maybe making them feel an experience they have no control over","2","2","5","4","6","4","1","2","async","1","31","2","6","2","6","The VR experience and how wearers feel in different situations","within"
